write 14336, errno Success
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
write -1, errno Resource temporarily unavailable
